4,Filyovsky Park,????????? ????,,13/10/1961,0 m,"surface, open",55°44?23?N 37°29?00?E? / ?55.7396°N 37.4833°E? / 55.7396; 37.4833? (Filyovsky Park)
4,Bagrationovskaya,???????????????,,13/10/1961,0 m,"surface, open",55°44?38?N 37°29?52?E? / ?55.7438°N 37.4977°E? / 55.7438; 37.4977? (Bagrationovskaya)
4,Fili,????,,07/11/1959,0 m,"surface, open",55°44?46?N 37°30?54?E? / ?55.7460°N 37.5150°E? / 55.7460; 37.5150? (Fili)
4,Kutuzovskaya,???????????,14,07/11/1958,0 m,"surface, open",55°44?24?N 37°32?04?E? / ?55.7399°N 37.5344°E? / 55.7399; 37.5344? (Kutuzovskaya)
4,Studencheskaya,????????????,,07/11/1958,0 m,"surface, open",55°44?20?N 37°32?54?E? / ?55.7388°N 37.5483°E? / 55.7388; 37.5483? (Studencheskaya)
4,Mezhdunarodnaya,?????????????,14,30/08/2006,?25 m,"column, triple-vault",55°44?54?N 37°32?02?E? / ?55.7483°N 37.5339°E? / 55.7483; 37.5339? (Mezhdunarodnaya)
4,Vystavochnaya,???????????,1,10/09/2005,?25 m,"column, triple-span",55°45?01?N 37°32?27?E? / ?55.7502°N 37.5408°E? / 55.7502; 37.5408? (Vystavochnaya)
4,Kiyevskaya,????????,3+5,20/03/1937,?8.7 m,"column, triple-span",55°44?37?N 37°33?56?E? / ?55.7436°N 37.5655°E? / 55.7436; 37.5655? (Kiyevskaya (Filyovskaya line))
4,Smolenskaya,??????????,,15/05/1935,?8 m,"column, triple-span",55°44?56?N 37°34?57?E? / ?55.7488°N 37.5825°E? / 55.7488; 37.5825? (Smolenskaya (Filyovskaya line))
4,Arbatskaya,?????????,,15/05/1935,?8 m,"column, triple-span",55°45?06?N 37°36?03?E? / ?55.7518°N 37.6007°E? / 55.7518; 37.6007? (Arbatskaya (Filyovskaya line))
4,Aleksandrovsky Sad,??????????????? ???,1+3+9,15/05/1935,?7 m,"column, four-span",55°45?09?N 37°36?31?E? / ?55.7525°N 37.6085°E? / 55.7525; 37.6085? (Aleksandrovsky Sad)
5,Kiyevskaya,????????,3+4,14/03/1954,?48 m,"pylon, triple-vault",55°44?41?N 37°33?52?E? / ?55.7446°N 37.5644°E? / 55.7446; 37.5644? (Kiyevskaya (Koltsevaya line))
